type,stock,price,quantity,cost,date,proceeds
BUY,NEW,125.62500238418579,339,42586.87580823898,2026-04-28,
BUY,SAEX,81.10300483619258,526,42660.1805438373,2026-04-28,
BUY,CCX,100.0,426,42600.0,2026-04-28,
BUY,SPT,100.0,426,42600.0,2026-04-28,
BUY,CMRX,101.31868000581008,421,42655.16428244604,2026-04-28,
BUY,BGNE,106.55260716928419,400,42621.04286771367,2026-04-28,
BUY,CNF,100.0,426,42600.0,2026-04-28,
BUY,KLR,100.0,426,42600.0,2026-04-28,
SELL,JPT,92.30770760055563,434,,2026-04-28,40061.545098641145
SELL,EQ,90.00000223517416,450,,2026-04-28,40500.00100582837
SELL,NEW,85.84474639775664,339,,2026-04-28,29101.3690288395
SELL,SAEX,88.03418803418803,526,,2026-04-28,46305.982905982906
SELL,CCX,102.92942454709359,426,,2026-04-28,43847.93485706187
SELL,SPT,85.84474639775664,426,,2026-04-28,36569.861965444325
SELL,CMRX,118.22125057316136,421,,2026-04-28,49771.14649130093
SELL,BGNE,101.77656456997337,400,,2026-04-28,40710.62582798935
SELL,CNF,100.0,426,,2026-04-28,42600.0
SELL,KLR,100.0,426,,2026-04-28,42600.0
BUY,GHG,149.99999511647292,308,46199.99849587366,2026-04-28,
BUY,HMI,161.83205302368418,285,46122.135111749994,2026-04-28,
BUY,IPI,161.83205302368418,285,46122.135111749994,2026-04-28,
BUY,POAI,85.84474639775664,538,46184.47356199307,2026-04-28,
BUY,SAF,161.83205302368418,285,46122.135111749994,2026-04-28,
BUY,GCP,105.41455734126997,438,46171.576115476244,2026-04-28,
BUY,DTP,100.0,462,46200.0,2026-04-28,
BUY,FIEE,108.41851843186727,426,46186.288851975456,2026-04-28,
BUY,GIX,100.0,462,46200.0,2026-04-28,
BUY,IO,161.83205302368418,285,46122.135111749994,2026-04-28,
SELL,HMI,78.72340546953781,285,,2026-04-28,22436.170558818274
SELL,IPI,87.03703472044134,285,,2026-04-28,24805.554895325782
SELL,SAF,119.23076583534669,285,,2026-04-28,33980.768263073805
SELL,GCP,102.19368558425128,438,,2026-04-28,44760.83428590206
SELL,FIEE,103.52219076200639,426,,2026-04-28,44100.45326461472
SELL,GIX,100.0,462,,2026-04-28,46200.0
SELL,IO,97.58522617592176,285,,2026-04-28,27811.7894601377
BUY,ALT,100.0,353,35300.0,2026-04-28,
BUY,SNDX,109.09090909090908,323,35236.36363636363,2026-04-28,
BUY,EIC,105.64515970463366,334,35285.483341347644,2026-04-28,
BUY,OSW,100.0,353,35300.0,2026-04-28,
BUY,PTI,125.80644603078252,280,35225.80488861911,2026-04-28,
BUY,INSE,100.10204314986943,353,35336.021231903906,2026-04-28,
BUY,NNDM,95.23809320277594,371,35333.33257822988,2026-04-28,
SELL,POAI,112.35955056179776,538,,2026-04-28,60449.4382022472
SELL,DTP,81.63265306122449,462,,2026-04-28,37714.28571428571
SELL,ALT,100.0,353,,2026-04-28,35300.0
SELL,SNDX,99.24999872843424,323,,2026-04-28,32057.749589284256
SELL,EIC,101.14486799322447,334,,2026-04-28,33782.38590973697
SELL,OSW,100.0,353,,2026-04-28,35300.0
SELL,PTI,101.54320590956243,280,,2026-04-28,28432.09765467748
SELL,INSE,100.91742298739972,353,,2026-04-28,35623.8503145521
SELL,NNDM,123.25581395348837,371,,2026-04-28,45727.90697674418
BUY,ROSEU,99.79999542236328,402,40119.59815979004,2026-04-28,
BUY,BRY,123.25581395348837,326,40181.395348837206,2026-04-28,
BUY,EBAYL,100.40177015609679,400,40160.708062438716,2026-04-28,
BUY,TOPS,91.28630705394191,440,40165.97510373444,2026-04-28,
BUY,MTA,81.63265306122449,492,40163.26530612245,2026-04-28,
BUY,AMPY,117.99999702368702,340,40119.99898805359,2026-04-28,
BUY,VVPR,100.5030200487487,400,40201.20801949948,2026-04-28,
BUY,TWNKW,123.25581395348837,326,40181.395348837206,2026-04-28,
BUY,TAT,81.63265306122449,492,40163.26530612245,2026-04-28,
SELL,GHG,100.0,308,,2026-04-28,30800.0
SELL,ROSEU,100.70140933576485,402,,2026-04-28,40481.96655297747
SELL,BRY,123.25581395348837,326,,2026-04-28,40181.395348837206
SELL,TOPS,89.0909090909091,440,,2026-04-28,39200.0
SELL,MTA,100.0,492,,2026-04-28,49200.0
SELL,AMPY,82.78688252276555,340,,2026-04-28,28147.540057740287
SELL,TWNKW,82.78688252276555,326,,2026-04-28,26988.52370242157
SELL,TAT,97.49999497085817,492,,2026-04-28,47969.99752566222
BUY,LN,100.0,372,37200.0,2026-04-28,
BUY,CEI,100.64308681672026,370,37237.9421221865,2026-04-28,
BUY,HMI,119.01408214224791,313,37251.4077105236,2026-04-28,
BUY,EVSTC,100.0,372,37200.0,2026-04-28,
BUY,RCP,100.0,372,37200.0,2026-04-28,
BUY,EQ,119.01408214224791,313,37251.4077105236,2026-04-28,
BUY,GIX,100.0,372,37200.0,2026-04-28,
BUY,PAYS,100.0,372,37200.0,2026-04-28,
SELL,EBAYL,99.96007507865276,400,,2026-04-28,39984.03003146111
SELL,VVPR,100.40200967457085,400,,2026-04-28,40160.80386982834
SELL,LN,100.0,372,,2026-04-28,37200.0
SELL,CEI,89.77635782747603,370,,2026-04-28,33217.252396166135
SELL,HMI,84.35643262202197,313,,2026-04-28,26403.563410692877
SELL,EVSTC,100.0,372,,2026-04-28,37200.0
SELL,RCP,100.0,372,,2026-04-28,37200.0
SELL,GIX,100.0,372,,2026-04-28,37200.0
SELL,PAYS,84.35643262202197,372,,2026-04-28,31380.59293539217
BUY,FHB,96.95380143345722,396,38393.705367649054,2026-04-28,
BUY,SNDX,115.40785496313299,332,38315.40784776015,2026-04-28,
BUY,SPT,100.0,383,38300.0,2026-04-28,
BUY,CBH,100.0,383,38300.0,2026-04-28,
BUY,OSW,100.0,383,38300.0,2026-04-28,
BUY,CFB,108.33333178112915,354,38349.99945051972,2026-04-28,
BUY,ENO,98.94529244305504,388,38390.773467905354,2026-04-28,
BUY,NSPR,96.07843137254902,399,38335.294117647056,2026-04-28,
BUY,NNDM,99.26470773855299,386,38316.177187081455,2026-04-28,
SELL,FHB,101.67858450726408,396,,2026-04-28,40264.71946487657
SELL,SNDX,100.13089305047902,332,,2026-04-28,33243.45649275903
SELL,CFB,130.76930789845554,354,,2026-04-28,46292.33499605326
SELL,ENO,100.94751224599811,388,,2026-04-28,39167.634751447265
SELL,NSPR,118.36734693877551,399,,2026-04-28,47228.57142857143
SELL,NNDM,96.29629629629629,386,,2026-04-28,37170.370370370365
BUY,ROSEU,100.19821113763041,332,33265.8060976933,2026-04-28,
BUY,EBAYL,100.8789371729389,330,33290.04926706984,2026-04-28,
BUY,OAC,124.99999667384822,266,33249.99911524363,2026-04-28,
BUY,NPA,86.82328940878914,383,33253.31984356624,2026-04-28,
BUY,DTP,100.8298731426956,330,33273.85813708955,2026-04-28,
BUY,SBT,108.30425129856418,307,33249.40514865921,2026-04-28,
SELL,SPT,100.0,383,,2026-04-28,38300.0
SELL,CBH,90.32259804658207,383,,2026-04-28,34593.555051840936
SELL,OSW,100.0,383,,2026-04-28,38300.0
SELL,ROSEU,100.09891423562247,332,,2026-04-28,33232.839526226664
SELL,EBAYL,101.19239303316515,330,,2026-04-28,33393.4897009445
SELL,OAC,86.36363574788591,266,,2026-04-28,22972.72710893765
SELL,NPA,86.36363574788591,383,,2026-04-28,33077.2724914403
SELL,DTP,86.36363574788591,330,,2026-04-28,28499.99979680235
SELL,SBT,100.31939410715253,307,,2026-04-28,30798.053990895827
BUY,LN,118.75000116415333,319,37881.25037136491,2026-04-28,
BUY,TT,100.0,379,37900.0,2026-04-28,
BUY,ALT,100.0,379,37900.0,2026-04-28,
BUY,LMRKP,100.36510453735079,378,37938.009515118596,2026-04-28,
BUY,HBANO,100.4323760102765,378,37963.43813188452,2026-04-28,
BUY,ENO,100.43019077476603,378,37962.61211286156,2026-04-28,
BUY,PTI,98.67616987290296,385,37990.32540106764,2026-04-28,
BUY,PIC,108.87102947659804,348,37887.11825785612,2026-04-28,
BUY,ZYNE,96.97275282185595,391,37916.346353345674,2026-04-28,
SELL,LN,121.05263529391827,319,,2026-04-28,38615.79065875993
SELL,TT,100.0,379,,2026-04-28,37900.0
SELL,ALT,100.0,379,,2026-04-28,37900.0
SELL,LMRKP,100.04041603395247,378,,2026-04-28,37815.27726083403
SELL,HBANO,100.46968908878196,378,,2026-04-28,37977.54247555958
SELL,ENO,100.23363906231188,378,,2026-04-28,37888.315565553894
SELL,PTI,95.14964567897431,385,,2026-04-28,36632.61358640511
SELL,PIC,100.74082666039834,348,,2026-04-28,35057.80767781862
SELL,ZYNE,96.56607767434451,391,,2026-04-28,37757.3363706687
BUY,AIO,101.12765233887113,373,37720.614322398935,2026-04-28,
BUY,WEI,100.0,378,37800.0,2026-04-28,
BUY,SLS,94.5578231292517,399,37728.57142857143,2026-04-28,
BUY,EIC,98.49672694118651,383,37724.24641847443,2026-04-28,
BUY,CFB,121.5686259843532,310,37686.27405514949,2026-04-28,
BUY,AMPY,107.40739039601719,351,37699.99402900203,2026-04-28,
BUY,SG,121.5686259843532,310,37686.27405514949,2026-04-28,
BUY,TBC,94.00000694974328,402,37788.0027937968,2026-04-28,
BUY,TRVI,100.0,378,37800.0,2026-04-28,
SELL,EQ,100.0,313,,2026-04-28,31300.0
SELL,AIO,94.00089529915738,373,,2026-04-28,35062.3339465857
SELL,WEI,100.0,378,,2026-04-28,37800.0
SELL,SLS,94.96402877697841,399,,2026-04-28,37890.647482014385
SELL,EIC,104.41786730535358,383,,2026-04-28,39992.04317795042
SELL,CFB,99.6666669845581,310,,2026-04-28,30896.666765213013
SELL,AMPY,79.41176629468404,351,,2026-04-28,27873.529969434097
SELL,SG,100.0,310,,2026-04-28,31000.0
SELL,TBC,94.00000694974328,402,,2026-04-28,37788.0027937968
SELL,TRVI,100.0,378,,2026-04-28,37800.0
BUY,LBC,90.00000934737264,424,38160.003963286,2026-04-28,
BUY,WSG,95.52940633635224,399,38116.23312820454,2026-04-28,
BUY,CPRX,101.58730008554686,375,38095.23753208007,2026-04-28,
BUY,AGLE,95.04549334901382,401,38113.242832954544,2026-04-28,
BUY,JPT,100.0,381,38100.0,2026-04-28,
BUY,RCP,100.0,381,38100.0,2026-04-28,
BUY,EVLMC,100.02099565352192,381,38107.999343991854,2026-04-28,
BUY,TROV,86.40552691602832,442,38191.24289688452,2026-04-28,
BUY,MTC,100.0,381,38100.0,2026-04-28,
BUY,PBC,120.38404197181251,317,38161.74130506456,2026-04-28,
SELL,LBC,100.0,424,,2026-04-28,42400.0
SELL,WSG,99.2610858953605,399,,2026-04-28,39605.17327224884
SELL,CPRX,100.0,375,,2026-04-28,37500.0
SELL,AGLE,93.2978809964558,401,,2026-04-28,37412.45027957878
