type,stock,price,quantity,cost,date,proceeds
BUY,NEW,125.62500238418579,587,73741.87639951706,2026-04-28,
BUY,CCX,100.0,738,73800.0,2026-04-28,
BUY,SAEX,81.10300483619258,910,73803.73440093525,2026-04-28,
BUY,SPT,100.0,738,73800.0,2026-04-28,
BUY,CMRX,101.31868000581008,728,73759.99904422974,2026-04-28,
BUY,BGNE,106.55260716928419,692,73734.40416114466,2026-04-28,
BUY,CNF,100.0,738,73800.0,2026-04-28,
BUY,KLR,100.0,738,73800.0,2026-04-28,
SELL,JPT,92.30770760055563,793,,2026-04-28,73200.01212724061
SELL,EQ,90.00000223517416,822,,2026-04-28,73980.00183731316
SELL,NEW,85.84474639775664,587,,2026-04-28,50390.86613548315
SELL,CCX,102.92942454709359,738,,2026-04-28,75961.91531575508
SELL,SAEX,88.03418803418803,910,,2026-04-28,80111.11111111111
SELL,SPT,85.84474639775664,738,,2026-04-28,63353.4228415444
SELL,CMRX,118.22125057316136,728,,2026-04-28,86065.07041726146
SELL,BGNE,101.77656456997337,692,,2026-04-28,70429.38268242158
SELL,CNF,100.0,738,,2026-04-28,73800.0
SELL,KLR,100.0,738,,2026-04-28,73800.0
BUY,GHG,149.99999511647292,579,86849.99717243781,2026-04-28,
BUY,HMI,161.83205302368418,537,86903.81247371841,2026-04-28,
BUY,DTP,100.0,869,86900.0,2026-04-28,
BUY,SAF,161.83205302368418,537,86903.81247371841,2026-04-28,
BUY,POAI,85.84474639775664,1012,86874.88335452972,2026-04-28,
BUY,FIEE,108.41851843186727,801,86843.23326392568,2026-04-28,
BUY,GCP,105.41455734126997,824,86861.59524920645,2026-04-28,
BUY,IPI,161.83205302368418,537,86903.81247371841,2026-04-28,
BUY,GIX,100.0,869,86900.0,2026-04-28,
BUY,IO,161.83205302368418,537,86903.81247371841,2026-04-28,
SELL,HMI,78.72340546953781,537,,2026-04-28,42274.468737141804
SELL,SAF,119.23076583534669,537,,2026-04-28,64026.921253581175
SELL,FIEE,103.52219076200639,801,,2026-04-28,82921.27480036711
SELL,GCP,102.19368558425128,824,,2026-04-28,84207.59692142306
SELL,IPI,87.03703472044134,537,,2026-04-28,46738.887644877
SELL,GIX,100.0,869,,2026-04-28,86900.0
SELL,IO,97.58522617592176,537,,2026-04-28,52403.26645646999
BUY,ALT,100.0,459,45900.0,2026-04-28,
BUY,SNDX,109.09090909090908,421,45927.27272727272,2026-04-28,
BUY,EIC,105.64515970463366,435,45955.64447151564,2026-04-28,
BUY,INSE,100.10204314986943,459,45946.83780579007,2026-04-28,
BUY,OSW,100.0,459,45900.0,2026-04-28,
BUY,PTI,125.80644603078252,365,45919.35280123562,2026-04-28,
BUY,NNDM,95.23809320277594,482,45904.760923738,2026-04-28,
SELL,DTP,81.63265306122449,869,,2026-04-28,70938.77551020408
SELL,POAI,112.35955056179776,1012,,2026-04-28,113707.86516853933
SELL,ALT,100.0,459,,2026-04-28,45900.0
SELL,SNDX,99.24999872843424,421,,2026-04-28,41784.249464670815
SELL,EIC,101.14486799322447,435,,2026-04-28,43998.01757705264
SELL,INSE,100.91742298739972,459,,2026-04-28,46321.09715121647
SELL,OSW,100.0,459,,2026-04-28,45900.0
SELL,PTI,101.54320590956243,365,,2026-04-28,37063.270156990286
SELL,NNDM,123.25581395348837,482,,2026-04-28,59409.3023255814
BUY,ROSEU,99.79999542236328,644,64271.19705200195,2026-04-28,
BUY,BRY,123.25581395348837,521,64216.27906976744,2026-04-28,
BUY,EBAYL,100.40177015609679,640,64257.132899901946,2026-04-28,
BUY,TWNKW,123.25581395348837,521,64216.27906976744,2026-04-28,
BUY,TOPS,91.28630705394191,704,64265.560165975105,2026-04-28,
BUY,MTA,81.63265306122449,788,64326.5306122449,2026-04-28,
BUY,AMPY,117.99999702368702,545,64309.998377909425,2026-04-28,
BUY,VVPR,100.5030200487487,640,64321.93283119916,2026-04-28,
BUY,TAT,81.63265306122449,788,64326.5306122449,2026-04-28,
SELL,GHG,100.0,579,,2026-04-28,57900.0
SELL,ROSEU,100.70140933576485,644,,2026-04-28,64851.70761223257
SELL,BRY,123.25581395348837,521,,2026-04-28,64216.27906976744
SELL,TWNKW,82.78688252276555,521,,2026-04-28,43131.965794360854
SELL,TOPS,89.0909090909091,704,,2026-04-28,62720.0
SELL,MTA,100.0,788,,2026-04-28,78800.0
SELL,AMPY,82.78688252276555,545,,2026-04-28,45118.850974907225
SELL,TAT,97.49999497085817,788,,2026-04-28,76829.99603703624
BUY,LN,100.0,558,55800.0,2026-04-28,
BUY,CEI,100.64308681672026,554,55756.27009646302,2026-04-28,
BUY,HMI,119.01408214224791,469,55817.604524714276,2026-04-28,
BUY,EVSTC,100.0,558,55800.0,2026-04-28,
BUY,RCP,100.0,558,55800.0,2026-04-28,
BUY,EQ,119.01408214224791,469,55817.604524714276,2026-04-28,
BUY,GIX,100.0,558,55800.0,2026-04-28,
BUY,PAYS,100.0,558,55800.0,2026-04-28,
SELL,EBAYL,99.96007507865276,640,,2026-04-28,63974.44805033777
SELL,VVPR,100.40200967457085,640,,2026-04-28,64257.28619172535
SELL,LN,100.0,558,,2026-04-28,55800.0
SELL,CEI,89.77635782747603,554,,2026-04-28,49736.10223642172
SELL,HMI,84.35643262202197,469,,2026-04-28,39563.166899728305
SELL,EVSTC,100.0,558,,2026-04-28,55800.0
SELL,RCP,100.0,558,,2026-04-28,55800.0
SELL,GIX,100.0,558,,2026-04-28,55800.0
SELL,PAYS,84.35643262202197,558,,2026-04-28,47070.88940308826
BUY,FHB,96.95380143345722,618,59917.44928587656,2026-04-28,
BUY,SNDX,115.40785496313299,519,59896.676725866026,2026-04-28,
BUY,SPT,100.0,599,59900.0,2026-04-28,
BUY,CBH,100.0,599,59900.0,2026-04-28,
BUY,OSW,100.0,599,59900.0,2026-04-28,
BUY,CFB,108.33333178112915,553,59908.332474964416,2026-04-28,
BUY,ENO,98.94529244305504,606,59960.847220491356,2026-04-28,
BUY,NSPR,96.07843137254902,624,59952.94117647059,2026-04-28,
BUY,NNDM,99.26470773855299,604,59955.883474086004,2026-04-28,
SELL,FHB,101.67858450726408,618,,2026-04-28,62837.3652254892
SELL,SNDX,100.13089305047902,519,,2026-04-28,51967.93349319861
SELL,CFB,130.76930789845554,553,,2026-04-28,72315.42726784591
SELL,ENO,100.94751224599811,606,,2026-04-28,61174.192421074855
SELL,NSPR,118.36734693877551,624,,2026-04-28,73861.22448979592
SELL,NNDM,96.29629629629629,604,,2026-04-28,58162.962962962956
BUY,ROSEU,100.19821113763041,439,43987.014689419746,2026-04-28,
BUY,EBAYL,100.8789371729389,436,43983.216607401366,2026-04-28,
BUY,OAC,124.99999667384822,352,43999.99882919457,2026-04-28,
BUY,DTP,100.8298731426956,437,44062.65456335798,2026-04-28,
BUY,NPA,86.82328940878914,507,44019.40773025609,2026-04-28,
BUY,SBT,108.30425129856418,407,44079.83027851562,2026-04-28,
SELL,SPT,100.0,599,,2026-04-28,59900.0
SELL,CBH,90.32259804658207,599,,2026-04-28,54103.236229902664
SELL,OSW,100.0,599,,2026-04-28,59900.0
SELL,ROSEU,100.09891423562247,439,,2026-04-28,43943.423349438264
SELL,EBAYL,101.19239303316515,436,,2026-04-28,44119.88336246
SELL,OAC,86.36363574788591,352,,2026-04-28,30399.99978325584
SELL,DTP,86.36363574788591,437,,2026-04-28,37740.90882182614
SELL,NPA,86.36363574788591,507,,2026-04-28,43786.36332417816
SELL,SBT,100.31939410715253,407,,2026-04-28,40829.99340161108
BUY,LN,118.75000116415333,498,59137.50057974836,2026-04-28,
BUY,TT,100.0,591,59100.0,2026-04-28,
BUY,ALT,100.0,591,59100.0,2026-04-28,
BUY,LMRKP,100.36510453735079,589,59115.04657249962,2026-04-28,
BUY,HBANO,100.4323760102765,588,59054.23709404258,2026-04-28,
BUY,ENO,100.43019077476603,588,59052.95217556243,2026-04-28,
BUY,PTI,98.67616987290296,599,59107.025753868875,2026-04-28,
BUY,PIC,108.87102947659804,543,59116.96900579274,2026-04-28,
BUY,ZYNE,96.97275282185595,609,59056.40646851027,2026-04-28,
SELL,LN,121.05263529391827,498,,2026-04-28,60284.2123763713
SELL,TT,100.0,591,,2026-04-28,59100.0
SELL,ALT,100.0,591,,2026-04-28,59100.0
SELL,LMRKP,100.04041603395247,589,,2026-04-28,58923.80504399801
SELL,HBANO,100.46968908878196,588,,2026-04-28,59076.17718420379
SELL,ENO,100.23363906231188,588,,2026-04-28,58937.37976863939
SELL,PTI,95.14964567897431,599,,2026-04-28,56994.63776170561
SELL,PIC,100.74082666039834,543,,2026-04-28,54702.268876596296
SELL,ZYNE,96.56607767434451,609,,2026-04-28,58808.74130367581
BUY,AIO,101.12765233887113,578,58451.78305186751,2026-04-28,
BUY,WEI,100.0,585,58500.0,2026-04-28,
BUY,SLS,94.5578231292517,619,58531.292517006805,2026-04-28,
BUY,EIC,98.49672694118651,594,58507.05580306479,2026-04-28,
BUY,CFB,121.5686259843532,481,58474.50909847389,2026-04-28,
BUY,AMPY,107.40739039601719,545,58537.02776582937,2026-04-28,
BUY,SG,121.5686259843532,481,58474.50909847389,2026-04-28,
BUY,TBC,94.00000694974328,622,58468.00432274032,2026-04-28,
BUY,TRVI,100.0,585,58500.0,2026-04-28,
SELL,EQ,100.0,469,,2026-04-28,46900.0
SELL,AIO,94.00089529915738,578,,2026-04-28,54332.51748291296
SELL,WEI,100.0,585,,2026-04-28,58500.0
SELL,SLS,94.96402877697841,619,,2026-04-28,58782.733812949635
SELL,EIC,104.41786730535358,594,,2026-04-28,62024.21317938003
SELL,CFB,99.6666669845581,481,,2026-04-28,47939.66681957245
SELL,AMPY,79.41176629468404,545,,2026-04-28,43279.412630602805
SELL,SG,100.0,481,,2026-04-28,48100.0
SELL,TBC,94.00000694974328,622,,2026-04-28,58468.00432274032
SELL,TRVI,100.0,585,,2026-04-28,58500.0
BUY,LBC,90.00000934737264,662,59580.00618796069,2026-04-28,
BUY,WSG,95.52940633635224,623,59514.82014754744,2026-04-28,
BUY,CPRX,101.58730008554686,586,59530.15785013046,2026-04-28,
BUY,AGLE,95.04549334901382,626,59498.47883648265,2026-04-28,
BUY,JPT,100.0,595,59500.0,2026-04-28,
BUY,RCP,100.0,595,59500.0,2026-04-28,
BUY,EVLMC,100.02099565352192,595,59512.492413845546,2026-04-28,
BUY,TROV,86.40552691602832,689,59533.408045143515,2026-04-28,
BUY,MTC,100.0,595,59500.0,2026-04-28,
BUY,PBC,120.38404197181251,494,59469.71673407538,2026-04-28,
SELL,LBC,100.0,662,,2026-04-28,66200.0
SELL,WSG,99.2610858953605,623,,2026-04-28,61839.65651280959
SELL,CPRX,100.0,586,,2026-04-28,58600.0
SELL,AGLE,93.2978809964558,626,,2026-04-28,58404.47350378133
SELL,JPT,79.5620399257908,595,,2026-04-28,47339.413755845526
SELL,RCP,100.0,595,,2026-04-28,59500.0
SELL,TROV,96.00000452112269,689,,2026-04-28,66144.00311505354
SELL,PBC,96.00000719786532,494,,2026-04-28,47424.00355574547
BUY,FHB,100.26804650988194,464,46524.37358058522,2026-04-28,
BUY,CCB,118.52576755852529,393,46580.62665050044,2026-04-28,
BUY,WEI,100.0,466,46600.0,2026-04-28,
BUY,SG,100.0,466,46600.0,2026-04-28,
BUY,YIN,97.22221772201117,479,46569.44228884335,2026-04-28,
BUY,MFINL,101.97084621129333,457,46600.67671856105,2026-04-28,
BUY,LSXMK,98.79889320915771,471,46534.278701513285,2026-04-28,
BUY,EMP,118.52576755852529,393,46580.62665050044,2026-04-28,
SELL,EVLMC,100.03999360472349,595,,2026-04-28,59523.79619481048
SELL,MTC,100.0,595,,2026-04-28,59500.0
SELL,FHB,98.73314856174152,464,,2026-04-28,45812.180932648065
SELL,CCB,79.10828170178992,393,,2026-04-28,31089.55470880344
SELL,WEI,100.0,466,,2026-04-28,46600.0
SELL,SG,100.0,466,,2026-04-28,46600.0
SELL,YIN,101.42857380909133,479,,2026-04-28,48584.286854554746
SELL,MFINL,100.69576043512289,457,,2026-04-28,46017.96251885116
SELL,LSXMK,96.2905162921335,471,,2026-04-28,45352.83317359488
SELL,EMP,104.69913450251414,393,,2026-04-28,41146.759859488055
BUY,AIO,102.94921977939589,547,56313.22321932955,2026-04-28,
BUY,HMI,81.66666560702853,690,56349.999268849686,2026-04-28,
BUY,OAC,93.87755365805643,600,56326.53219483385,2026-04-28,
BUY,SAF,117.64705933914053,479,56352.94142344831,2026-04-28,
BUY,RRR,102.15901947347743,551,56289.619729886064,2026-04-28,
BUY,PECK,100.0,563,56300.0,2026-04-28,
BUY,NTLA,102.09709093408676,552,56357.59419561589,2026-04-28,
BUY,AYTU,117.64705933914053,479,56352.94142344831,2026-04-28,
BUY,EQ,100.0,563,56300.0,2026-04-28,
BUY,GIX,117.64705933914053,479,56352.94142344831,2026-04-28,
SELL,AIO,102.94921977939589,547,,2026-04-28,56313.22321932955
SELL,HMI,82.63158274489432,690,,2026-04-28,57015.79209397708
SELL,OAC,93.87755365805643,600,,2026-04-28,56326.53219483385
SELL,SAF,82.63158274489432,479,,2026-04-28,39580.52813480438
SELL,RRR,100.92783042981017,551,,2026-04-28,55611.234566825406
SELL,PECK,100.0,563,,2026-04-28,56300.0
SELL,NTLA,109.62342598399306,552,,2026-04-28,60512.131143164166
SELL,AYTU,84.21052631578947,479,,2026-04-28,40336.84210526315
SELL,EQ,112.50000698491945,563,,2026-04-28,63337.50393250965
SELL,GIX,100.0,479,,2026-04-28,47900.0
BUY,RCA,100.0,533,53300.0,2026-04-28,
BUY,FRHC,100.0,533,53300.0,2026-04-28,
BUY,WEI,100.0,533,53300.0,2026-04-28,
BUY,ALT,100.0,533,53300.0,2026-04-28,
BUY,BLNK,121.44472715353817,439,53314.23522040326,2026-04-28,
BUY,YIN,95.66344782661555,557,53284.54043942486,2026-04-28,
BUY,MFINL,98.34935705897159,542,53305.3515259626,2026-04-28,
BUY,CBH,100.0,533,53300.0,2026-04-28,
BUY,CNF,100.0,533,53300.0,2026-04-28,
BUY,TMSR,100.0,533,53300.0,2026-04-28,
SELL,FRHC,100.0,533,,2026-04-28,53300.0
SELL,WEI,100.0,533,,2026-04-28,53300.0
SELL,ALT,100.0,533,,2026-04-28,53300.0
SELL,BLNK,110.00000346790662,439,,2026-04-28,48290.00152241101
SELL,YIN,97.79156061468485,557,,2026-04-28,54469.89926237946
SELL,MFINL,100.50738198692328,542,,2026-04-28,54475.001036912414
SELL,CNF,100.0,533,,2026-04-28,53300.0
SELL,TMSR,100.0,533,,2026-04-28,53300.0
BUY,CLRB,100.0,424,42400.0,2026-04-28,
BUY,ARA,102.56129076067899,413,42357.81308416042,2026-04-28,
BUY,MEC,86.84210980367797,488,42378.94958419485,2026-04-28,
BUY,MRUS,86.84210980367797,488,42378.94958419485,2026-04-28,
BUY,RCP,100.0,424,42400.0,2026-04-28,
BUY,TPB,98.57143675222267,430,42385.717803455744,2026-04-28,
BUY,EQ,88.88888336994054,477,42399.99736746164,2026-04-28,
BUY,GIX,86.84210980367797,488,42378.94958419485,2026-04-28,
SELL,RCA,100.0,533,,2026-04-28,53300.0
SELL,CBH,100.0,533,,2026-04-28,53300.0
SELL,CLRB,108.25396340990822,424,,2026-04-28,45899.68048580109
SELL,ARA,102.03353435911897,413,,2026-04-28,42139.849690316136
SELL,MEC,128.63635738033906,488,,2026-04-28,62774.54240160546
SELL,MRUS,104.25777741196482,488,,2026-04-28,50877.795377038834
SELL,RCP,100.0,424,,2026-04-28,42400.0
SELL,TPB,90.62800755428763,430,,2026-04-28,38970.04324834368
BUY,HMI,128.63635738033906,369,47466.81587334511,2026-04-28,
BUY,OAC,108.16326685768031,439,47483.674150521656,2026-04-28,
BUY,CNF,100.0,475,47500.0,2026-04-28,
BUY,MSBI,99.77847161725676,476,47494.55248981422,2026-04-28,
BUY,TWNKW,128.63635738033906,369,47466.81587334511,2026-04-28,
BUY,SBPH,101.30110954154677,468,47408.91926544389,2026-04-28,
BUY,EHT,100.1984732578433,474,47494.07632421773,2026-04-28,
BUY,RETA,128.63635738033906,369,47466.81587334511,2026-04-28,
SELL,EQ,87.50000232830652,477,,2026-04-28,41737.501110602214
SELL,GIX,88.88888505628589,488,,2026-04-28,43377.77590746751
SELL,HMI,78.01672997719727,369,,2026-04-28,28788.173361585792
SELL,OAC,86.79245402376684,439,,2026-04-28,38101.88731643364
SELL,CNF,100.0,475,,2026-04-28,47500.0
SELL,MSBI,96.66962066397942,476,,2026-04-28,46014.7394360542
SELL,TWNKW,128.63635738033906,369,,2026-04-28,47466.81587334511
SELL,SBPH,99.35780094244028,468,,2026-04-28,46499.45084106205
SELL,EHT,100.1980226905977,474,,2026-04-28,47493.86275534331
BUY,LN,86.66666004392866,556,48186.662984424336,2026-04-28,
BUY,ALT,100.0,482,48200.0,2026-04-28,
BUY,SAEX,78.01672997719727,618,48214.339125907914,2026-04-28,
BUY,SPT,100.0,482,48200.0,2026-04-28,
BUY,PLSE,101.63550680824274,474,48175.23022710706,2026-04-28,
BUY,RCP,100.0,482,48200.0,2026-04-28,
BUY,KLR,100.0,482,48200.0,2026-04-28,
BUY,USFD,95.1229200010921,506,48132.1975205526,2026-04-28,
BUY,EMP,78.01672997719727,618,48214.339125907914,2026-04-28,
SELL,RETA,85.1063883752509,369,,2026-04-28,31404.257310467583
SELL,LN,111.53846242018706,556,,2026-04-28,62015.385105624
SELL,ALT,100.0,482,,2026-04-28,48200.0
SELL,SPT,116.0642966241056,482,,2026-04-28,55942.990972818894
SELL,PLSE,98.39081157795722,474,,2026-04-28,46637.24468795172
SELL,RCP,116.0642966241056,482,,2026-04-28,55942.990972818894
SELL,KLR,100.0,482,,2026-04-28,48200.0
SELL,USFD,98.24927019466007,506,,2026-04-28,49714.130718497996
SELL,EMP,116.0642966241056,618,,2026-04-28,71727.73531369725
BUY,NEW,103.27586109445434,501,51741.206408321625,2026-04-28,
BUY,NIU,98.4428238116568,526,51780.92532493147,2026-04-28,
BUY,PSN,116.0642966241056,446,51764.6762943511,2026-04-28,
BUY,GIX,112.50000485063838,460,51750.002231293656,2026-04-28,
BUY,DTP,100.0,518,51800.0,2026-04-28,
BUY,SUPV,106.6833804900755,485,51741.43953768662,2026-04-28,
BUY,JG,111.11111111111111,466,51777.77777777778,2026-04-28,
BUY,IBKCO,100.26995298130865,516,51739.295738355264,2026-04-28,
BUY,PBC,116.0642966241056,446,51764.6762943511,2026-04-28,
SELL,SAEX,82.06997914680989,618,,2026-04-28,50719.24711272851
SELL,NEW,119.26181829137505,501,,2026-04-28,59750.1709639789
SELL,NIU,116.11468266262482,526,,2026-04-28,61076.32308054066
SELL,PSN,82.06997914680989,446,,2026-04-28,36603.21069947721
SELL,GIX,88.88888505628589,460,,2026-04-28,40888.88712589151
SELL,DTP,100.0,518,,2026-04-28,51800.0
SELL,SUPV,98.90367948160628,485,,2026-04-28,47968.284548579046
SELL,JG,100.0,466,,2026-04-28,46600.0
SELL,IBKCO,100.38459818099797,516,,2026-04-28,51798.45266139495
SELL,PBC,82.06997914680989,446,,2026-04-28,36603.21069947721
BUY,OTLK,96.90410543718454,553,53587.970306763054,2026-04-28,
BUY,WEI,100.0,536,53600.0,2026-04-28,
BUY,ALT,119.26181829137505,449,53548.5564128274,2026-04-28,
BUY,NH,89.56706706096936,598,53561.10610245968,2026-04-28,
BUY,OSW,119.26181829137505,449,53548.5564128274,2026-04-28,
BUY,WALA,102.23729098312329,524,53572.340475156605,2026-04-28,
BUY,NPA,100.0,536,53600.0,2026-04-28,
BUY,PAE,100.0,536,53600.0,2026-04-28,
BUY,MINDP,99.39149159859947,539,53572.013971645116,2026-04-28,
BUY,SBT,97.25612042022867,551,53588.12235154599,2026-04-28,
SELL,OTLK,95.58948539671012,553,,2026-04-28,52860.98542438069
SELL,WEI,100.0,536,,2026-04-28,53600.0
SELL,ALT,85.29956741240187,449,,2026-04-28,38299.50576816844
SELL,NH,110.85578366071745,598,,2026-04-28,66291.75862910904
SELL,OSW,85.29956741240187,449,,2026-04-28,38299.50576816844
SELL,WALA,100.07815567512543,524,,2026-04-28,52440.95357376573
SELL,MINDP,98.36735309035576,539,,2026-04-28,53020.00331570175
SELL,SBT,101.56733115554314,551,,2026-04-28,55963.59946670427
BUY,RCA,100.0,411,41100.0,2026-04-28,
BUY,SELB,100.07148126551424,410,41029.30731886084,2026-04-28,
BUY,IAA,100.0,411,41100.0,2026-04-28,
BUY,ROAD,100.0,411,41100.0,2026-04-28,
BUY,PRPL,100.0,411,41100.0,2026-04-28,
BUY,CARR#,100.0,411,41100.0,2026-04-28,
BUY,EMP,100.20533567259655,410,41084.187625764585,2026-04-28,
BUY,GIX,100.0,411,41100.0,2026-04-28,
SELL,NPA,100.0,536,,2026-04-28,53600.0
SELL,PAE,100.0,536,,2026-04-28,53600.0
SELL,RCA,100.0,411,,2026-04-28,41100.0
SELL,SELB,100.0,410,,2026-04-28,41000.0
SELL,IAA,100.0,411,,2026-04-28,41100.0
SELL,ROAD,100.0,411,,2026-04-28,41100.0
SELL,PRPL,100.0,411,,2026-04-28,41100.0
SELL,CARR#,100.0,411,,2026-04-28,41100.0
SELL,EMP,100.7172178161686,410,,2026-04-28,41294.059304629125
SELL,GIX,124.9999967662411,411,,2026-04-28,51374.99867092509
BUY,FHB,106.23625382011465,497,52799.41814859698,2026-04-28,
BUY,EVFM,98.9583260897136,534,52843.74613190706,2026-04-28,
BUY,TRX,108.42105098048074,487,52801.05182749412,2026-04-28,
BUY,NTZ,101.93548510151524,518,52802.58128258489,2026-04-28,
BUY,ALT,94.99999906867725,556,52819.999482184554,2026-04-28,
BUY,NH,90.35025411092262,585,52854.89865488973,2026-04-28,
BUY,ADMP,98.70967861020729,535,52809.6780564609,2026-04-28,
BUY,AMPY,107.69231333696194,491,52876.925848448314,2026-04-28,
BUY,ASM,109.96309878693333,481,52892.250516514934,2026-04-28,
