,Long,Short,Long-Short
total_return,4.254195792627858,0.0,1.5555941315319082
annualized_return,0.48826540377232486,0.0,0.2521653630876335
annualized_volatility,0.41933895797052884,0.0,0.22134103662405977
sharpe_ratio,1.1166751737987448,0,1.0489033874091702
max_drawdown,-0.25160610792635296,0.0,-0.12893947757671753
max_drawdown_duration,238,0,237
win_rate,0.24855186940494997,0,0.24855186940494997
profit_loss_ratio,1.1144381745289857,inf,1.1621296222056958
num_trades,3798,0,3798
profitable_trades,944,0,944
losing_trades,2854,0,2854
avg_profit,23830.69441752451,0,7427.78387591002
avg_loss,7072.919952766667,0,2114.086305182296
max_single_profit,275909.94980282424,0,65369.08364684204
max_single_loss,-212574.61416844197,0,-51426.819914548156
risk_free_rate,0.02,0.02,0.02
start_date,2016-01-14,2016-01-14,2016-01-14
end_date,2020-03-17,2020-03-17,2020-03-17
duration_days,1524,1524,1524
